exercise_name,base_name,main_muscle_clean,muscle_category,equipment_clean,difficulty_level,is_compound,is_priority,is_variation,target_muscles_list,synergist_muscles_list,secondary_muscles_list,stabilizer_muscles_list,execution,preparation
Neck Flexion,neck flexion,neck,other,cable,beginner,False,False,False,['sternocleidomastoid'],['none'],['sternocleidomastoid'],"['rectus abdominis', 'obliques']",Move head away from pulley by bending neck forward until chin touches upper chest. Return head by hyperextending neck and repeat.,Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.
Neck Flexion,neck flexion,neck,other,machine,beginner,False,False,False,['sternocleidomastoid'],['none'],['sternocleidomastoid'],"['latissimus dorsi', 'deltoid', 'posterior', 'rhomboids', 'trapezius', 'middle', 'trapezius', 'lower', 'triceps brachii', 'rectus abdominis', 'obliques']",Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.
Lateral Neck Flexion,lateral neck flexion,neck,other,machine,beginner,False,False,False,['sternocleidomastoid'],"['splenius', 'erector spinae', 'levator scapulae', 'trapezius', 'upper']","['sternocleidomastoid', 'levator scapulae']","['latissimus dorsi', 'pectoralis major', 'sternal', 'pectoralis major', 'clavicular', 'coracobrachialis', 'pectoralis minor']",Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,Sit on seat in machine with feet apart   . Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.
Neck Flexion,neck flexion,neck,other,machine,beginner,False,False,False,['sternocleidomastoid'],['none'],['sternocleidomastoid'],"['latissimus dorsi', 'deltoid', 'posterior', 'rhomboids', 'trapezius', 'middle', 'trapezius', 'lower', 'triceps brachii', 'rectus abdominis', 'obliques']",Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.
Lateral Neck Flexion,lateral neck flexion,neck,other,machine,beginner,False,False,False,['sternocleidomastoid'],"['splenius', 'erector spinae', 'levator scapulae', 'trapezius', 'upper']","['sternocleidomastoid', 'levator scapulae']","['latissimus dorsi', 'pectoralis major', 'sternal', 'pectoralis major', 'clavicular', 'coracobrachialis', 'pectoralis minor']",Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,Sit on seat in machine with feet apart. Position side of head on padded lever. Center body so neck is in line with lever axis. Grasp handles for support.
Neck Flexion,neck flexion,neck,other,weighted,beginner,False,False,False,['sternocleidomastoid'],['none'],['sternocleidomastoid'],"['rectus abdominis', 'obliques']",Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.,Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.
Lateral Neck Flexion,lateral neck flexion,neck,other,weighted,beginner,False,False,False,['sternocleidomastoid'],"['splenius', 'erector spinae', 'levator scapulae', 'trapezius', 'upper']","['sternocleidomastoid', 'levator scapulae']",[],Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.,Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.
Wall Front Neck Bridge,wall front neck bridge,neck,other,bodyweight,intermediate,False,False,False,['sternocleidomastoid'],"['splenius', 'trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers']","['sternocleidomastoid', 'upper trapezius']","['rectus abdominis', 'obliques', 'quadriceps']",Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.,"Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips."
Wall Side Neck Bridge,wall side neck bridge,neck,other,bodyweight,intermediate,False,False,False,['sternocleidomastoid'],"['splenius', 'trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers']","['sternocleidomastoid', 'upper trapezius']","['gluteus medius', 'gluteus minimus']",Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips."
Neck Flexion,neck flexion,neck,other,suspension trainer,beginner,False,False,False,['sternocleidomastoid'],"['splenius', 'trapezius', 'upper', 'erector spinae', 'cervicis & capitis fibers']",['sternocleidomastoid'],[],Increase angle of body by bowing head until chin touches upper chest. Lower angle of body by raising head. Repeat.,Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.
